"Actinobacteriota","Gemmatimonadota","Proteobacteria","Myxococcota","Nitrospirota","Chloroflexi","Acidobacteriota","Firmicutes","Verrucomicrobiota","Bacteroidota","Bdellovibrionota","Planctomycetota","Patescibacteria","Cyanobacteria","Methylomirabilota","Elusimicrobiota","Latescibacterota","Armatimonadota","Dependentiae","RCP2.54","Fibrobacterota","Desulfobacterota","SAR324.clade.Marine.group.B.","FCPU426","WS2","WPS.2","Deinococcota","NB1.j","Spirochaetota","Sumerlaeota","MBNT15","Abditibacteriota","Zixibacteria","Nanoarchaeota","GAL15","Entotheonellaeota","Hydrogenedentes","Thermoplasmatota","response"
7476,1065,8678,1291,566,7210,4680,490,905,2771,135,277,714,258,493,26,157,7,17,164,118,401,2,4,6,4,0,209,80,0,172,0,14,11,9,0,0,0,0
5884,754,6757,1116,417,5742,3699,433,870,2092,171,282,763,158,299,56,145,10,8,132,41,303,6,8,4,6,0,197,64,0,136,0,30,9,10,0,6,0,1
7285,816,7938,1635,485,6394,3826,547,1169,3340,167,231,644,306,269,29,141,9,11,113,152,405,4,7,19,0,0,204,22,2,85,4,10,7,0,0,18,0,1
6421,873,6829,1099,417,5743,3260,480,1198,2399,111,252,549,304,314,26,140,2,8,115,112,356,5,11,14,0,0,132,23,7,106,0,10,6,3,0,4,0,1
6467,838,6761,1110,435,5628,3071,587,1106,2652,140,272,667,214,352,28,127,4,15,91,79,276,4,17,19,0,0,141,33,5,117,0,6,21,0,0,0,0,1
4321,520,4851,727,235,4075,2391,462,426,1195,66,366,367,36,276,37,87,0,0,106,5,43,0,0,0,0,0,113,9,0,27,0,6,2,13,0,8,0,1
3844,604,4937,802,272,3778,2339,468,494,1231,70,278,382,45,272,49,106,5,6,74,18,102,0,3,0,0,0,119,4,0,29,0,0,15,9,0,0,0,1
2955,305,3483,558,247,2737,1681,339,394,754,32,132,383,13,181,20,53,0,16,41,32,31,0,7,0,0,2,53,4,0,26,0,6,0,8,0,4,0,1
7482,1328,9420,2369,233,4588,4034,2097,1166,1918,168,269,717,511,97,50,24,43,30,19,45,6,5,21,15,19,25,0,22,3,16,0,0,0,0,0,0,0,0
9562,1457,13700,1218,282,3341,3310,2927,700,4595,292,65,345,616,61,26,11,67,12,34,17,34,5,0,0,7,72,0,0,8,10,0,0,0,0,0,0,0,0
4760,1476,6288,978,239,3214,4420,2513,860,1033,94,191,249,94,107,75,52,94,6,27,87,18,2,55,16,16,5,0,11,0,0,0,0,0,0,0,0,11,0
7123,1653,9507,799,75,4924,4066,3192,1173,2436,242,168,1348,205,56,54,54,40,28,46,10,267,43,31,15,163,37,0,11,7,7,2,0,0,0,0,0,0,0
5008,1714,10828,250,590,2770,3747,4936,1280,1335,32,162,700,865,102,30,0,42,29,37,6,21,0,22,0,38,146,0,0,0,0,0,0,0,0,0,0,0,0
4713,1023,5359,687,239,3393,3060,1986,728,1408,179,57,402,200,40,74,40,54,18,8,41,26,22,10,20,6,20,0,0,0,0,0,0,0,0,0,0,0,0
9364,2164,10106,1256,684,6305,5694,4017,1114,1584,228,152,407,503,195,85,104,43,18,44,14,35,17,0,13,8,10,14,0,3,11,0,0,0,0,6,0,0,0
481,174,454,189,395,79,428,157,141,76,22,0,16,0,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
